corrupt_text,correct_text,corruption
CQ CQ CQ CQ CQ CQ CQ CQ DE DE DE DE PY2AA PY2AA K UR RST 5NN 5NN OP LUIS QTH SAO PAULO WX CLEAR TEMP 30C ANT BEAM HW CPY BK DE PY2AA K,CQ CQ CQ DE PY2AA PY2AA K UR RST 5NN 5NN OP LUIS QTH SAO PAULO WX CLEAR TEMP 30C ANT BEAM HW CPY BK DE PY2AA K,corrupt_duplicates
CQ CQCQ CQCQ DEDE PY2AA PY2AA K UR RST 5N 5N OP LUIS QTH SAO ? WX CLEAR TEMP ? ANT BEAM HW CPY BK BK ? PY2AA K,CQ CQ CQ DE PY2AA PY2AA K UR RST 5NN 5NN OP LUIS QTH SAO PAULO WX CLEAR TEMP 30C ANT BEAM HW CPY BK DE PY2AA K,corrupt_combined
HR R?G ? VINTAGE 1970S HEATHKIT HW101 RUNNING 100W PRODUCING WARM CHIRP RCVR ? FB AR,HR RIG IS VINTAGE 1970S HEATHKIT HW101 RUNNING 100W PRODUCING WARM CHIRP RCVR IS FB AR,corrupt_combined
CQ CQ CQ DE DL2ABC DL2ABC K ? RST 5NN 5NN HR FB WX ? 22C OP ALEX QTH COLOGNE HW CPY NW BT TNX FER CALL AR DL2ABC DE K1XYZ K,CQ CQ CQ DE DL2ABC DL2ABC K UR RST 5NN 5NN HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY NW BT TNX FER CALL AR DL2ABC DE K1XYZ K,corrupt_question_marks
CQ TEST DE K1XYZ K1XYZ TEST 599 001 MA BK EE,CQ TEST DE K1XYZ K1XYZ TEST 599 001 MA BK EE,none
CQ CQ CQ DE JA1YAA JA1YAA K UR RST 5NN IN TOKYO OP KEN RIG TS590 PWR 100W ANT VERTICAL WX RAIN HW CPY BK DE JA1YAA K,CQ CQ CQ DE JA1YAA JA1YAA K UR RST 5NN IN TOKYO OP KEN RIG TS590 PWR 100W ANT VERTICAL WX RAIN HW CPY BK DE JA1YAA K,none
TNX FB QSO DR ALEX 73 ES CUL DR OM TU BI BI SK DL2ABC DE K1XYZ CL,TNX FB QSO DR ALEX 73 ES CUL DR OM TU BI BI SK DL2ABC DE K1XYZ CL,none
CQ CQ CQ DE DL2ABC DL2ABC K UR RST 579 579 HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY? K,CQ CQ CQ DE DL2ABC DL2ABC K UR RST 579 579 HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY? K,none
F5MZN DE PY2AA ? ? ALL FB ? FB QSO ? OM ? ? ? QRV FER NW ? ? SK PY2AA ? F5MZN ?,F5MZN DE PY2AA R PIERRE ALL FB TNX FB QSO DR OM CUL ES 73 QRV FER NW DX TU SK PY2AA DE F5MZN CL,corrupt_heavy
CQ CQCQ CQCQ DEDE JA1YAA JA1YAA K UR RST 5N IN TOKYO OP KEN RIG TS590 PWR 100W ANT VERTICAL WX RAIN HW CPY BK DEDE JA1YAA K,CQ CQ CQ DE JA1YAA JA1YAA K UR RST 5NN IN TOKYO OP KEN RIG TS590 PWR 100W ANT VERTICAL WX RAIN HW CPY BK DE JA1YAA K,corrupt_timing_errors
R ? FR OM RIG HR IS ? PWR 5W ANT ? A ? DIPOLE UP 10M HW CPY NW? AR K,R OK FR OM RIG HR IS FT817 PWR 5W ANT IS A HOMEBREW DIPOLE UP 10M HW CPY NW? AR K,corrupt_question_marks
QRZ ? DE ZS6XYZ UP ? U5 REPEAT ? CALL ONLY ? ENDING ? ? ?,QRZ DX DE ZS6XYZ UP 2 U5 REPEAT UR CALL ONLY STN ENDING IN MIAMI KN,corrupt_heavy
JA1YAA DEDE ? R OK ? UR SIGS 5N HR OP DAVE QTH TORONTO VY FB ? NO QRM PWR 100W ANT IS LONG WIRE AR AR AR VE3XYZ ? JA1YAA K,JA1YAA DE VE3XYZ R OK KEN UR SIGS 5NN HR OP DAVE QTH TORONTO VY FB COPY NO QRM PWR 100W ANT IS LONG WIRE AR VE3XYZ DE JA1YAA K,corrupt_combined
G4ZAA DE K1XYZ R ALL FB AMY TNX INF UR RST 5NN OP BOB QTH BOSTON WX SUNNY 25C SO ES CUL DR OM TA 73 SK K1XYZ DE G4ZAA K,G4ZAA DE K1XYZ R ALL FB AMY TNX INF UR RST 5NN OP BOB QTH BOSTON WX SUNNY 25C SO ES CUL DR OM TU 73 SK K1XYZ DE G4ZAA K,corrupt_timing_errors
G4ZAA DE K1XYZ R ? FB ? TNX INF ? RST ? OP ? QTH BOSTON ? SUNNY ? ? ? ? DR OM TU ? ? ? ? ? ?,G4ZAA DE K1XYZ R ALL FB AMY TNX INF UR RST 5NN OP BOB QTH BOSTON WX SUNNY 25C SO ES CUL DR OM TU 73 SK K1XYZ DE G4ZAA K,corrupt_heavy
TNX FB QSO DR ALEX 73 ES CUL DR OM TU BI BI SK SK DL2ABC DE K1XYZ CL,TNX FB QSO DR ALEX 73 ES CUL DR OM TU BI BI SK DL2ABC DE K1XYZ CL,corrupt_duplicates
QTH BERLIN ? AR,QTH BERLIN GRM AR,corrupt_question_marks
CQ CQ CQ CQ CQ CQ CQ CQ CQ DE DE DE DE K1XYZ K,CQ CQ CQ DE K1XYZ K,corrupt_duplicates
CQCQ CQ CQCQ DE DE K1XYZ K,CQ CQ CQ DE K1XYZ K,corrupt_combined
? ? ? R ? UR SIGS 5NN ? OP ? QTH PARIS RIG FT991 PWR ? ? ? FB ? ? ? ? DX AR F5MZN ? ? ?,PY2AA DE F5MZN R LUIS UR SIGS 5NN HR OP PIERRE QTH PARIS RIG FT991 PWR 100W ANT WINDOM FB COPY TNX FER NEW DX AR F5MZN DE PY2AA K,corrupt_heavy
RST 599 THX ? AR,RST 599 THX CU AR,corrupt_combined
QRZ DX DEDE ZS6XYZ UP 2 ?5 ? UR ? ONLY STN ENDING IN MIAMI KN KN KN KN,QRZ DX DE ZS6XYZ UP 2 U5 REPEAT UR CALL ONLY STN ENDING IN MIAMI KN,corrupt_combined
K1XYZ DE G4ZAA OK DR OM TNX FB QSO UR RST 579 579 OP AMY QTH LONDON RIG IS K3 RUNNING 100W ANT YAGI SO VY FB COPY HR AR G4ZAA DE K1XYZ K,K1XYZ DE G4ZAA OK DR OM TNX FB QSO UR RST 579 579 OP AMY QTH LONDON RIG IS K3 RUNNING 100W ANT YAGI SO VY FB COPY HR AR G4ZAA DE K1XYZ K,none
WX HR VY BAD HVY RAIN ES WIND BARO 995 MB ANT SWAYING A L?T SO QRU N? QRV QRX,WX HR VY BAD HVY RAIN ES WIND BARO 995 MB ANT SWAYING A LOT SO QRU NW QRV QRX,corrupt_question_marks
? DE VK2ZY R ? ? TNX ? UR ? 559 ? ? MATT ? SYDNEY ? HOMEBREW ANT ? BT ? VY HOT HR ? CPY AR ? ?,VE3XYZ DE VK2ZY R FB DAVE TNX REPT UR RST 559 559 OP MATT QTH SYDNEY RIG HOMEBREW ANT DOUBLET BT WX VY HOT HR HW CPY AR VK2ZY K,corrupt_heavy
? 599 TH? CU AR,RST 599 THX CU AR,corrupt_question_marks
DE DL2ABC OP ALEX K,DE DL2ABC OP ALEX K,none
NR 42 R HXG K1XYZ 12 GUMMERSBACH 2200Z JUL 12 TO JOHN DOE GUMMERSBACH BT ALL IS WELL MEETING RESCHEDULED TO MONDAY AR,NR 42 R HXG K1XYZ 12 GUMMERSBACH 2200Z JUL 12 TO JOHN DOE GUMMERSBACH BT ALL IS WELL MEETING RESCHEDULED TO MONDAY AR,none
G4ZAA DE K1XYZ R ? FB ?MY TNX INF U? RST 5?N OP BO? QTH BOSTON WX SUNNY 25C ?O ES C?L D? OM TU 73 SK K1XYZ DE G4ZAA K,G4ZAA DE K1XYZ R ALL FB AMY TNX INF UR RST 5NN OP BOB QTH BOSTON WX SUNNY 25C SO ES CUL DR OM TU 73 SK K1XYZ DE G4ZAA K,corrupt_question_marks
HR RIG IS VINTAGE 1970S HEATHKIT HW101 RUNNING 100W PRODUCING WARM CHIRP RCVR IS FB AR,HR RIG IS VINTAGE 1970S HEATHKIT HW101 RUNNING 100W PRODUCING WARM CHIRP RCVR IS FB AR,none
PWR 50W ANT DIPOLE,PWR 50W ANT DIPOLE,none
CQ CQ CQ DE ?Y2AA PY2AA K ?R RST 5NN 5NN OP LUIS QTH SAO ? WX CLEAR T?MP 30? ANT BEAM ?W CP? BK DE PY2AA K,CQ CQ CQ DE PY2AA PY2AA K UR RST 5NN 5NN OP LUIS QTH SAO PAULO WX CLEAR TEMP 30C ANT BEAM HW CPY BK DE PY2AA K,corrupt_question_marks
QRM PSE ?PT K,QRM PSE RPT K,corrupt_question_marks
QRZ K1XYZ K,QRZ K1XYZ K,none
WX WARM TEMP 25C K,WX WARM TEMP 25C K,none
K1XYZ DE ? ? ? UR SIGS ? ? ? OP JALIS RIG ? ? ? ? ANT DIPOLE ? 10M WX CLOUDY BT ? ? ? ? ? ? ?,K1XYZ DE YL3ZM YL3ZM R UR SIGS 5NN IN RIGA OP JALIS RIG HR FT817 PWR 5W ANT DIPOLE UP 10M WX CLOUDY BT HW CPY AR YL3ZM DE K1XYZ K,corrupt_heavy
G4ZAA DE K1XYZ R ALL FB AMY TNX INF UR RST 5NN OP BOB QTH BOSTON WX SUNNY 25C SO ES CUL DR OM TU 73 SK K1XYZ DE G4ZAA K,G4ZAA DE K1XYZ R ALL FB AMY TNX INF UR RST 5NN OP BOB QTH BOSTON WX SUNNY 25C SO ES CUL DR OM TU 73 SK K1XYZ DE G4ZAA K,none
NR 42 R HXG K1XYZ 1? GUMMERSBACH 2200Z JUL 12 T? JOHN DOE GUM?ER???CH BT BT ALL I? WELL MEETING RESCHEDULED TO MONDAY AR,NR 42 R HXG K1XYZ 12 GUMMERSBACH 2200Z JUL 12 TO JOHN DOE GUMMERSBACH BT ALL IS WELL MEETING RESCHEDULED TO MONDAY AR,corrupt_combined
R ? COPY BUT QRM IS HEAVY ? RPT UR ? ES QTH SRI VY HI ? ? KN KN KN,R FB COPY BUT QRM IS HEAVY PSE RPT UR NAME ES QTH SRI VY HI NOISE HR KN,corrupt_combined
SOS SOS CQD DE BLN,SOS SOS CQD DE BLN,none
? FB ? ? ALEX 73 ? ? DR OM TU BI BI SK ? DE K1XYZ ?,TNX FB QSO DR ALEX 73 ES CUL DR OM TU BI BI SK DL2ABC DE K1XYZ CL,corrupt_heavy
R OK FR OM RIG HR IS FT817 PWR 5W ANT IS A HOMEBREW DIPOLE UP 10? ? CPY NW? AR K,R OK FR OM RIG HR IS FT817 PWR 5W ANT IS A HOMEBREW DIPOLE UP 10M HW CPY NW? AR K,corrupt_combined
NR ? ? HXG K1XYZ 12 ? 2200Z JUL ? ? JOHN ? GUMMERSBACH BT ? ? ? MEETING ? ? MONDAY ?,NR 42 R HXG K1XYZ 12 GUMMERSBACH 2200Z JUL 12 TO JOHN DOE GUMMERSBACH BT ALL IS WELL MEETING RESCHEDULED TO MONDAY AR,corrupt_heavy
TNX FB QSO ?R ALEX 7? ES CUL D? OM TU BI BI SKSK DL2ABC DEDE K1XYZ CL,TNX FB QSO DR ALEX 73 ES CUL DR OM TU BI BI SK DL2ABC DE K1XYZ CL,corrupt_combined
PAN PAN PAN DE WLO WLO E?GIN? ? DRIFTING POSITION ? 012E RE??EST TUG ? AR,PAN PAN PAN DE WLO WLO ENGINE FAILURE DRIFTING POSITION 54N 012E REQUEST TUG ASSISTANCE AR,corrupt_question_marks
PY2AA DE F5MZN R LUIS UR SIGS 5NN HR OP PIERRE QTH PARIS RIG FT991 PWR 100W ANT WINDOM FB COPY TNX FER NEW DX AR F5MZN DE PY2AA K,PY2AA DE F5MZN R LUIS UR SIGS 5NN HR OP PIERRE QTH PARIS RIG FT991 PWR 100W ANT WINDOM FB COPY TNX FER NEW DX AR F5MZN DE PY2AA K,none
R FB COPY ? ? ? ? ? RPT ? NAME ES QTH SRI ? ? NOISE HR KN,R FB COPY BUT QRM IS HEAVY PSE RPT UR NAME ES QTH SRI VY HI NOISE HR KN,corrupt_heavy
CQ CQ CQ DEDE DL2ABC DL2ABC K UR RST 579 579 HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY? K,CQ CQ CQ DE DL2ABC DL2ABC K UR RST 579 579 HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY? K,corrupt_combined
PAN ?AN PAN DEDE WLO ? ENGINE ? DRIFTING POSITION ? 012E REQUEST TUG ASSISTANCE AR,PAN PAN PAN DE WLO WLO ENGINE FAILURE DRIFTING POSITION 54N 012E REQUEST TUG ASSISTANCE AR,corrupt_combined
NR 42 R H?G ? 12 GUMMERSBACH 2200Z JUL 12 TO JOHN DOE GUMMERSBACH BT ALL IS WELL MEETING RESCHEDULED ?O MONDAY AR,NR 42 R HXG K1XYZ 12 GUMMERSBACH 2200Z JUL 12 TO JOHN DOE GUMMERSBACH BT ALL IS WELL MEETING RESCHEDULED TO MONDAY AR,corrupt_question_marks
TA 73 CUL SKSK,TU 73 CUL SK,corrupt_combined
? DE K1XYZ R ALL FB AMY TNX IN? UR RST 5N OP BOB QTH BOSTON WX SUNNY 25C SO ES CUL DR OM TA 73 SK K1XYZ DE G4ZAA K,G4ZAA DE K1XYZ R ALL FB AMY TNX INF UR RST 5NN OP BOB QTH BOSTON WX SUNNY 25C SO ES CUL DR OM TU 73 SK K1XYZ DE G4ZAA K,corrupt_combined
QRZ DX DE ZS6XYZ UP 2 U? REP??T UR CAL? ON?Y STN ENDING IN MIAMI KN,QRZ DX DE ZS6XYZ UP 2 U5 REPEAT UR CALL ONLY STN ENDING IN MIAMI KN,corrupt_question_marks
JA1YAA DE DE DE DE VE3XYZ R OK KEN UR SIGS 5NN HR OP DAVE QTH TORONTO VY FB COPY NO QRM PWR 100W ANT IS LONG WIRE AR AR AR AR VE3XYZ DE JA1YAA K,JA1YAA DE VE3XYZ R OK KEN UR SIGS 5NN HR OP DAVE QTH TORONTO VY FB COPY NO QRM PWR 100W ANT IS LONG WIRE AR VE3XYZ DE JA1YAA K,corrupt_duplicates
QTH BERLIN GRM AR AR AR,QTH BERLIN GRM AR,corrupt_combined
CQ CQ CQ DE JA1YAA JA1YAA K ? ? 5NN ? TOKYO OP KEN RIG TS590 PW? 100W ANT VERTICAL WX ? HW CPY BK DE JA1YAA ?,CQ CQ CQ DE JA1YAA JA1YAA K UR RST 5NN IN TOKYO OP KEN RIG TS590 PWR 100W ANT VERTICAL WX RAIN HW CPY BK DE JA1YAA K,corrupt_question_marks
? ? VY ? HVY ? ES ? ? 995 ? ? ? A ? ? ? ? QRV ?,WX HR VY BAD HVY RAIN ES WIND BARO 995 MB ANT SWAYING A LOT SO QRU NW QRV QRX,corrupt_heavy
F5MZN DEDE PY2AA R PIERRE ALL FB TNX FB QSO DR OM CUL ES 73 QRV FER NW DX TU SKSK PY2AA DE F5MZN CL,F5MZN DE PY2AA R PIERRE ALL FB TNX FB QSO DR OM CUL ES 73 QRV FER NW DX TU SK PY2AA DE F5MZN CL,corrupt_timing_errors
R FB COPY BUT QRM ? HEAVY PSE RPT U? ? ES QTH SRI VY HI NOISE HR KN,R FB COPY BUT QRM IS HEAVY PSE RPT UR NAME ES QTH SRI VY HI NOISE HR KN,corrupt_question_marks
PAN PAN PAN DE WLO WLO ENGINE FAILURE DRIFTING POSITION 54N 012E REQUEST TUG ASSISTANCE AR,PAN PAN PAN DE WLO WLO ENGINE FAILURE DRIFTING POSITION 54N 012E REQUEST TUG ASSISTANCE AR,none
? CQ CQ DE ? ? ? ? RST 5NN IN TOKYO OP ? RIG TS590 PWR ? ? ? WX RAIN HW CPY ? ? ? K,CQ CQ CQ DE JA1YAA JA1YAA K UR RST 5NN IN TOKYO OP KEN RIG TS590 PWR 100W ANT VERTICAL WX RAIN HW CPY BK DE JA1YAA K,corrupt_heavy
HR ? IS VINTAGE ? ? ? RUNNING 100W PRODUCING WARM CHIRP ? ? ? AR,HR RIG IS VINTAGE 1970S HEATHKIT HW101 RUNNING 100W PRODUCING WARM CHIRP RCVR IS FB AR,corrupt_heavy
TU 73 CUL SK,TU 73 CUL SK,none
JA1YAA DE VE3XYZ R ? KEN UR SIGS 5NN HR OP DAVE QTH TORONTO ?Y FB COPY NO QRM PWR 100W ANT ? LONG WIRE AR VE3XYZ DE JA1YAA K,JA1YAA DE VE3XYZ R OK KEN UR SIGS 5NN HR OP DAVE QTH TORONTO VY FB COPY NO QRM PWR 100W ANT IS LONG WIRE AR VE3XYZ DE JA1YAA K,corrupt_question_marks
? ? ? AR,QTH BERLIN GRM AR,corrupt_heavy
QTH BERLIN GRM AR,QTH BERLIN GRM AR,none
K1XYZ DE YL3ZM YL3ZM ? UR SIGS ? I? RIGA ?P JALIS RIG HR FT817 ? 5W ANT DIPOLE UP 10M WX ? BT HW CPY AR YL3ZM DE K1XYZ K,K1XYZ DE YL3ZM YL3ZM R UR SIGS 5NN IN RIGA OP JALIS RIG HR FT817 PWR 5W ANT DIPOLE UP 10M WX CLOUDY BT HW CPY AR YL3ZM DE K1XYZ K,corrupt_question_marks
QRZ DX DE DE DE DE ZS6XYZ UP 2 U5 REPEAT UR CALL ONLY STN ENDING IN MIAMI KN,QRZ DX DE ZS6XYZ UP 2 U5 REPEAT UR CALL ONLY STN ENDING IN MIAMI KN,corrupt_duplicates
CQ CQ CQ DE DE DE DE JA1YAA JA1YAA K UR RST 5N IN TOKYO OP KEN RIG TS590 PWR 100W ANT VERTICAL WX RAIN HW CPY BK DE DE DE DE JA1?A? K,CQ CQ CQ DE JA1YAA JA1YAA K UR RST 5NN IN TOKYO OP KEN RIG TS590 PWR 100W ANT VERTICAL WX RAIN HW CPY BK DE JA1YAA K,corrupt_combined
R OK FR OM RIG HR IS FT817 PWR 5W ANT IS A HOMEBREW DIPOLE UP 10M HW CPY NW? AR K,R OK FR OM RIG HR IS FT817 PWR 5W ANT IS A HOMEBREW DIPOLE UP 10M HW CPY NW? AR K,none
F5MZN DE PY2AA R PIERRE ALL FB TNX FB QSO DR OM CUL ES 73 QRV FER NW DX TU SK PY2AA DE F5MZN CL,F5MZN DE PY2AA R PIERRE ALL FB TNX FB QSO DR OM CUL ES 73 QRV FER NW DX TU SK PY2AA DE F5MZN CL,none
QRM PSE RPT K,QRM PSE RPT K,none
CQ TEST DEDE K1XYZ K1XYZ TEST 599 001 MA BK EE,CQ TEST DE K1XYZ K1XYZ TEST 599 001 MA BK EE,corrupt_timing_errors
SOS SOS CQD DEDE BL?,SOS SOS CQD DE BLN,corrupt_combined
PAN ? PAN DE ? ? ENGINE FAILURE DRIFTING ? ? 012E ? ? ASSISTANCE AR,PAN PAN PAN DE WLO WLO ENGINE FAILURE DRIFTING POSITION 54N 012E REQUEST TUG ASSISTANCE AR,corrupt_heavy
CQ CQ CQ DE DL2ABC DL2ABC K UR RST 5NN 5NN HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY NW BT TNX FER CALL AR DL2ABC DE DE DE K1XYZ K,CQ CQ CQ DE DL2ABC DL2ABC K UR RST 5NN 5NN HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY NW BT TNX FER CALL AR DL2ABC DE K1XYZ K,corrupt_duplicates
RST 599 THX CU AR,RST 599 THX CU AR,none
F5MZN DE PY2AA ? PIERRE ALL FB TNX FB QSO DR OM CUL ES 73 QRV FER NW DX TU TU SKSK PY2AA DE DE DE DE F5MZN CL,F5MZN DE PY2AA R PIERRE ALL FB TNX FB QSO DR OM CUL ES 73 QRV FER NW DX TU SK PY2AA DE F5MZN CL,corrupt_combined
? ? OP ALEX ?,DE DL2ABC OP ALEX K,corrupt_heavy
? WARM ? ? K,WX WARM TEMP 25C K,corrupt_heavy
F5MZN DE P?2?A R PIERRE ALL FB TNX FB QSO ? OM CUL ? 73 QRV FER NW DX TU SK PY2AA DE F5MZN CL,F5MZN DE PY2AA R PIERRE ALL FB TNX FB QSO DR OM CUL ES 73 QRV FER NW DX TU SK PY2AA DE F5MZN CL,corrupt_question_marks
HR ? IS VINTAGE 1970S HEATHKIT HW101 RUNNING 100W P?ODU?I?G ?ARM ? RCVR IS FB AR,HR RIG IS VINTAGE 1970S HEATHKIT HW101 RUNNING 100W PRODUCING WARM CHIRP RCVR IS FB AR,corrupt_question_marks
K1XYZ DE YL3ZM YL3ZM R UR ? 5N ?N RIGA OP JALIS RIG HR FT817 PWR 5W ANT DIPOLE ? 10M WX CLOUDY BT HW CPY AR YL3ZM DE K1XYZ K,K1XYZ DE YL3ZM YL3ZM R UR SIGS 5NN IN RIGA OP JALIS RIG HR FT817 PWR 5W ANT DIPOLE UP 10M WX CLOUDY BT HW CPY AR YL3ZM DE K1XYZ K,corrupt_combined
JA1YAA DE VE3XYZ R OK KEN UR SIGS 5N HR OP DAVE QTH TORONTO VY FB COPY NO QRM PWR 100W ANT IS LONG WIRE AR VE3XYZ DEDE JA1YAA K,JA1YAA DE VE3XYZ R OK KEN UR SIGS 5NN HR OP DAVE QTH TORONTO VY FB COPY NO QRM PWR 100W ANT IS LONG WIRE AR VE3XYZ DE JA1YAA K,corrupt_timing_errors
JA1YAA DE VE3XYZ R OK KEN UR SIGS 5NN HR OP DAVE QTH TORONTO VY FB COPY NO QRM PWR 100W ANT IS LONG WIRE AR VE3XYZ DE JA1YAA K,JA1YAA DE VE3XYZ R OK KEN UR SIGS 5NN HR OP DAVE QTH TORONTO VY FB COPY NO QRM PWR 100W ANT IS LONG WIRE AR VE3XYZ DE JA1YAA K,none
PY2AA DE F5MZN R LUIS UR SIGS 5NN HR OP PIERRE QTH PARIS RIG FT991 PWR 100W ANT WINDOM FB COPY TNX FER NEW DX AR F5MZN DEDE PY2AA K,PY2AA DE F5MZN R LUIS UR SIGS 5NN HR OP PIERRE QTH PARIS RIG FT991 PWR 100W ANT WINDOM FB COPY TNX FER NEW DX AR F5MZN DE PY2AA K,corrupt_timing_errors
K1XYZ DE YL3ZM YL3ZM R UR SIGS 5NN IN RIGA OP JALIS RIG HR FT817 PWR 5W ANT DIPOLE UP 10M WX CLOUDY BT HW CPY AR YL3ZM DE K1XYZ K,K1XYZ DE YL3ZM YL3ZM R UR SIGS 5NN IN RIGA OP JALIS RIG HR FT817 PWR 5W ANT DIPOLE UP 10M WX CLOUDY BT HW CPY AR YL3ZM DE K1XYZ K,none
? ? CQ ? K1XYZ K,CQ CQ CQ DE K1XYZ K,corrupt_heavy
? ? CQ ? ? DL2ABC K UR ? 5NN ? ? ? ? ? 22C ? ? ? COLOGNE HW ? NW BT TNX ? ? ? ? DE ? K,CQ CQ CQ DE DL2ABC DL2ABC K UR RST 5NN 5NN HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY NW BT TNX FER CALL AR DL2ABC DE K1XYZ K,corrupt_heavy
VE3XYZ DE VK2ZY R FB DAVE TNX REPT UR RST 559 559 OP MATT QTH SYDNEY RIG HOMEBREW ANT DOUBLET BT WX VY HOT HR HW CPY AR VK2ZY K,VE3XYZ DE VK2ZY R FB DAVE TNX REPT UR RST 559 559 OP MATT QTH SYDNEY RIG HOMEBREW ANT DOUBLET BT WX VY HOT HR HW CPY AR VK2ZY K,none
SOS SOS ? ? ?,SOS SOS CQD DE BLN,corrupt_heavy
DE DL2ABC OP ALEX ?,DE DL2ABC OP ALEX K,corrupt_combined
VE3XYZ DE VK2ZY R FB DAVE TNX REP? ? RST 559 559 OP MATT QTH SYDNEY R?G HOMEBREW ANT DOUBLET BT ? VY HOT HR HW CPY AR VK2ZY K,VE3XYZ DE VK2ZY R FB DAVE TNX REPT UR RST 559 559 OP MATT QTH SYDNEY RIG HOMEBREW ANT DOUBLET BT WX VY HOT HR HW CPY AR VK2ZY K,corrupt_combined
PY2AA DE F5MZN ? LUIS UR ?IGS 5NN ? OP PIERRE QTH PARIS RIG FT991 PW? 100W ANT WINDOM FB COPY TNX FER NE? DX AR F5MZN DE PY2AA ?,PY2AA DE F5MZN R LUIS UR SIGS 5NN HR OP PIERRE QTH PARIS RIG FT991 PWR 100W ANT WINDOM FB COPY TNX FER NEW DX AR F5MZN DE PY2AA K,corrupt_question_marks
CQ CQ CQ CQ DE DL2ABC DL2ABC K UR RST 579 579 HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY? K,CQ CQ CQ DE DL2ABC DL2ABC K UR RST 579 579 HR FB WX TEMP 22C OP ALEX QTH COLOGNE HW CPY? K,corrupt_duplicates
F5MZN DE PY2AA R PIERRE ALL FB TNX FB QSO DR OM CUL ES 73 QRV FER NW DX TU SK SK SK PY2AA DE DE DE F5MZN CL,F5MZN DE PY2AA R PIERRE ALL FB TNX FB QSO DR OM CUL ES 73 QRV FER NW DX TU SK PY2AA DE F5MZN CL,corrupt_duplicates
TNX FB QSO DR ALEX 73 ES CUL DR OM TA BI BI SK DL2ABC DEDE K1XYZ CL,TNX FB QSO DR ALEX 73 ES CUL DR OM TU BI BI SK DL2ABC DE K1XYZ CL,corrupt_timing_errors
WX HR VY BAD HVY RAIN ES WIND BARO 995 MB ANT SWAYING A LOT SO QRU NW QRV QRX,WX HR VY BAD HVY RAIN ES WIND BARO 995 MB ANT SWAYING A LOT SO QRU NW QRV QRX,none
